Brand name,Price,Rating,Rating count,Review count,Ranking,URL
"Ozone Smart Digital Biometric Door Locks for Main Door (Premium Plus with Wi-Fi, Black)  Limited time deal  ₹28,072₹28,072 M.R.P: ₹35,990₹35,990 (22% off)Save 1% with couponOnly 1 left in stock.Add to cart-RemoveMore Buying Choices₹28,000(5 new offers)",28072.0,,,,1,https://www.amazon.in/Ozone-Digital-Doorbell-Biometric-OZ-FDL-01/dp/B0BK16QMC9/ref=sr_1_145?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-145
"+4 colors/patternsGolens X19 Luxury Smart Door Lock | 8 Ways Unlocking |3D Face ID| Fingerprint | Mobile App | RFID Card | PIN | OTP | Mechanical Key |Camera Technology| Keyless Entry Digital Lock (2 Year Warranty)  3.7 out of 5 stars 12  Limited time deal  ₹19,390₹19,390 M.R.P: ₹70,500₹70,500 (72% off)₹200 coupon applied at checkoutSave ₹200  with coupon  Get it by Thursday 20 JuneFREE Delivery by AmazonAdd to cart-Remove",19390.0,3.7,12.0,12.0,2,https://www.amazon.in/Golens-X19-Recognition-Intercom-Fingerprint/dp/B0BSP2PFG1/ref=sr_1_146?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-146
"Dorset Digital Rim Lock with Pincode Access | Home Security Solution for Your Main Door | Home and Office Use | Free Installation - [DG907 GM] Black  3.8 out of 5 stars 9  Limited time deal  ₹6,799₹6,799 M.R.P: ₹9,590₹9,590 (29% off) Get it by Tuesday 18 JuneOnly 2 left in stock.See options",6799.0,3.8,9.0,9.0,3,https://www.amazon.in/Dorset-Digital-Security-Solution-Installation/dp/B0B9SH8PNK/ref=sr_1_147?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-147
"Yale YDM 4109 Smart Lock, Gold, App Enabled  5.0 out of 5 stars 2  Limited time deal  ₹37,990₹37,990 M.R.P: ₹57,999₹57,999 (34% off)₹1,000 coupon applied at checkoutSave ₹1,000  with coupon  Get it by Tuesday 18 JuneFREE Delivery by AmazonService: InstallationAdd to cart-Remove",37990.0,5.0,2.0,2.0,4,https://www.amazon.in/Yale-YDM-4109-Mechanical-Gold/dp/B089NK2W8N/ref=sr_1_148?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-148
"Nexmot NX Pro M12 Smart Door Lock with Fingerprint, Mobile app,PIN, OTP, RFID Card and Manual Key Access for Wooden Doors (Glossy Black) (WiFi Hub Sold Separately)  5.0 out of 5 stars 3  ₹7,999₹7,999 M.R.P: ₹24,999₹24,999 (68% off)5% coupon applied at checkoutSave 5%  with coupon  Get it by Tuesday 18 JuneFREE Delivery by AmazonAdd to cart-Remove",7999.0,5.0,3.0,3.0,5,https://www.amazon.in/Nexmot-NX-Pro-M12-Fingerprint/dp/B0CZXNNKB9/ref=sr_1_149?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-149
"Golens X37 WiFi Smart Glass Door Lock, Digital Glass Lock with Wireless Remote,Fingerprint, PIN, IC Card, Mobile App Control, Key Auto Locking High Strength (Standard Size10-12 mm Thickness of Glass)  Limited time deal  ₹10,499₹10,499 M.R.P: ₹32,700₹32,700 (68% off) Get it by Tuesday 18 JuneFREE Delivery by AmazonAdd to cart-Remove",10499.0,,,,6,https://www.amazon.in/Golens-Bluetooth-Fingerprint-Size10-12-Thickness/dp/B0CCY3PJM7/ref=sr_1_150?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-150
"Fingerprint Door Knobs with APP, Keyless Entry Smart Door Lock with Biometric Finger Print, Keys for Bedroom Home Office Hotel (Silver)  4.2 out of 5 stars 53  ₹9,109₹9,109Get it Thursday 27 June - Monday 1 JulyFREE DeliveryAdd to cart-Remove",9109.0,4.2,53.0,53.0,7,https://www.amazon.in/Fingerprint-Keyless-Biometric-Finger-Bedroom/dp/B0CH7T7683/ref=sr_1_151?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-151
"Lockly Vision Smart Door Lock, Smart Video Doorbell Camera & Keyless Entry Lock with Fingerprint, Digital Keypad, Wi-Fi, & No Monthly Fees - Brushed Gold  4.6 out of 5 stars 4  ₹68,556₹68,556 M.R.P: ₹96,697₹96,697 (29% off)Get it Tuesday 2 July - Wednesday 3 JulyFREE DeliveryAdd to cart-Remove",68556.0,4.6,4.0,4.0,8,https://www.amazon.in/Lockly-Doorbell-Keyless-Fingerprint-Digital/dp/B0C6QKT3N2/ref=sr_1_152?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-152
"QUBO Smart Door Lock Essential WiFi from Hero Group | Unlock from Anywhere | 5-Way Unlocking | Fingerprint | Pincode | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | (Copper)  ₹13,480₹13,480 List: ₹25,980₹25,980 (48% off) FREE Delivery by Amazon",13480.0,,,,9,https://www.amazon.in/Essential-Unlocking-Fingerprint-Bluetooth-Mechanical/dp/B0CH1CK45N/ref=sr_1_153?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-153
"Qubo Smart Rim Lock & WiFi Gateway Combo  5.0 out of 5 stars 3  ₹11,980₹11,980 List: ₹24,980₹24,980 (52% off)Save extra with No Cost EMI FREE Delivery by Amazon",11980.0,5.0,3.0,3.0,10,https://www.amazon.in/Qubo-Smart-Lock-Gateway-Combo/dp/B0CH1DDSM3/ref=sr_1_154?dib=eyJ2IjoiMSJ9.sRdcyjZxFu5GLaQoExsYsT4m7oiGItRQHgH-LT9krJhKxKDz03cYoNbssy8NOKmYCxb3sBIarQ3xaKs8wwU83eEnkISzjQOa2nPDGQPlZnSWcuDzAtYIoHgLENWewmF4ATkISrycQZpOWWYHs0YkOw35DEiB0pFdMlyFF09iSpgCMyInxRt-PwZu1puhKIO2GY6QSWCHauMSf7yYG9Q-OKvZN3Q860FioS7AKtygKysApeJ_YMmzwu-mDkT_r3TpKejiQTidfbayJbXYHXCDyk7YtdBajinwWA5oR0qxKJI.mkwvgS6Yvt-PO48x8hY5wVLbE2EPgKoGXf1A5ZyZhto&dib_tag=se&keywords=smart+lock&qid=1718215745&sr=8-154
